c0,c1,c2,c3,c4,c5,c6,c7,c8
A,F,2307098.0,7849.0,12028745.26,11412758.8077,11853461.88908,15.82,314
A,F,2309704.0,247.0,374759.52,355750.1718,369629.020092,0.63,11
A,F,2333529.0,949.0,1530508.24,1459947.9146,1520927.924618,1.65,37
A,F,154530.0,7898.0,11758034.0,11161962.7506,11623456.700912,15.54,304
A,F,440450.0,8111.0,12343177.31,11728286.8985,12177722.516703,16.63,330
A,F,1355693.0,7870.0,12081739.78,11444458.3469,11857470.173344,15.72,302
A,F,1918844.0,11957.0,18068933.24,17167235.7171,17848294.57674,22.97,465
A,F,2087260.0,11191.0,17059098.05,16201504.0476,16855769.082813,22.27,448
A,F,2203897.0,6999.0,10604003.47,10047350.2297,10440981.970073,14.05,272
A,F,141337.0,2712.0,3964203.58,3745125.06,3889517.030867,5.64,108
A,F,467552.0,10517.0,15552996.29,14750945.3851,15291918.037571,21.81,424
A,F,540603.0,11380.0,17310108.25,16419773.942,17082986.269387,23.47,454
A,F,540604.0,1153.0,1797795.07,1708377.212,1773326.001726,2.64,52
A,F,1190297.0,7403.0,11012606.32,10463193.8832,10897824.637009,15.23,308
A,F,1870853.0,4948.0,7323107.51,6910320.7923,7190939.279173,9.95,182
A,F,2047337.0,4388.0,6660019.36,6315993.8286,6570006.587804,8.58,166
A,F,2436442.0,7798.0,11801911.84,11207888.7546,11661013.732818,15.73,306
A,F,2781556.0,9280.0,13869556.7,13178591.7455,13728849.116283,17.97,356
A,F,1361165.0,8278.0,12264450.15,11606990.0864,12066387.790583,15.69,310
A,F,1472285.0,1055.0,1701497.51,1604803.0162,1666099.104857,2.35,44
A,F,1969347.0,11387.0,16904833.52,16067072.3932,16698886.308813,21.99,442
A,F,2139282.0,488.0,695006.33,661320.1735,681408.081797,1.09,21
A,F,2309705.0,12252.0,18579636.85,17647523.7902,18350100.936601,23.89,468
A,F,2359147.0,380.0,555217.38,519413.5214,543811.437443,0.91,15
A,F,1645416.0,11334.0,17000334.39,16189466.7167,16853046.072068,21.05,440
A,F,1946600.0,14382.0,21708092.07,20662294.1367,21523260.557133,26.46,544
A,F,2413454.0,10347.0,15503862.9,14731808.9789,15296849.504497,19.85,402
A,F,2413455.0,2053.0,3053815.84,2910759.2055,3013259.62612,3.88,80
A,F,2523912.0,7050.0,10681577.18,10171108.0836,10563448.439633,12.62,262
A,F,2878376.0,2683.0,3962348.13,3761660.9154,3929899.792661,5.72,117
A,F,327217.0,4655.0,7207021.71,6851295.0449,7125114.250839,8.9,182
A,F,477820.0,10608.0,16480107.68,15639765.3834,16268233.626872,20.9,403
A,F,874406.0,12945.0,19354852.97,18442839.0242,19203227.080477,25.15,518
A,F,1228462.0,3774.0,5684531.91,5410971.8402,5616749.456352,7.33,148
A,F,1594302.0,5754.0,8397313.95,7994650.683,8323873.728589,11.36,230
A,F,1900111.0,752.0,1182783.34,1131911.3965,1185197.047199,1.35,28
A,F,40031.0,3489.0,5373913.07,5114659.0199,5317665.169231,6.54,136
A,F,230625.0,3530.0,5405231.52,5135049.5333,5349139.726199,6.75,140
A,F,608745.0,4657.0,7295307.82,6921900.3989,7228666.608464,9.79,189
A,F,987633.0,5172.0,7760252.53,7364843.8687,7653982.280439,10.21,205
A,F,1115576.0,7743.0,11401548.04,10822937.4495,11276141.99503,14.6,296
A,F,2181687.0,6894.0,10260493.66,9753314.1522,10125009.395261,13.35,264
A,F,2189279.0,2764.0,4251513.5,4027536.2859,4190327.087863,5.65,114
A,F,2657434.0,9063.0,13703174.61,12983423.3866,13547216.255358,17.53,346
A,F,68335.0,9943.0,15231778.89,14472997.3538,15036992.744667,19.52,386
A,F,722673.0,1382.0,2146018.07,2048725.5449,2120841.564405,2.88,62
A,F,1111040.0,1075.0,1613251.71,1538932.6557,1607849.685741,2.1,45
A,F,1375021.0,5684.0,8418171.35,8020642.8253,8332158.014143,10.35,219
A,F,1617281.0,11435.0,17043595.91,16149548.019,16752297.991098,22.54,446
A,F,2317884.0,3701.0,5611992.48,5331685.0582,5541052.638505,7.02,144
A,F,2795783.0,11227.0,16582479.51,15786826.0647,16381779.613399,22.22,453
A,F,436721.0,11554.0,17581135.58,16669847.4059,17316750.6578,22.63,454
A,F,837270.0,11636.0,17380405.73,16498929.2211,17187573.985134,24.3,467
A,F,1215806.0,10196.0,15192654.16,14449838.5089,15032492.12716,18.91,399
A,F,1250842.0,558.0,846435.52,801506.1997,839583.447876,1.23,22
A,F,1761897.0,1593.0,2314383.41,2200428.1828,2297197.583903,3.09,61
A,F,2114997.0,4768.0,7134102.23,6790245.6011,7065567.482925,9.21,192
A,F,2739059.0,8244.0,12501662.22,11882244.3742,12347906.04262,16.22,326
A,F,157341.0,8322.0,12341497.52,11764304.2912,12209438.138125,15.95,324
A,F,335305.0,11006.0,16333717.4,15538540.8531,16164486.116462,21.77,441
A,F,378359.0,10538.0,15559835.29,14782472.7033,15354411.583748,20.59,409
A,F,396443.0,10462.0,15360945.68,14602652.0897,15159895.936436,19.4,396
A,F,555658.0,3672.0,5545721.56,5244874.0956,5442923.214982,7.78,144
A,F,644914.0,3211.0,4787536.04,4548341.0232,4735839.31137,6.46,131
A,F,700492.0,10059.0,15055044.06,14296347.0263,14834768.144093,19.93,389
A,F,843293.0,7356.0,11085103.75,10529017.3273,10900069.0577,14.08,288
A,F,1757857.0,3892.0,5656725.64,5367293.3816,5574295.720252,7.9,162
A,F,1790807.0,5590.0,8318199.8,7864956.921,8169183.821461,11.55,215
A,F,2151193.0,4934.0,7514066.5,7125735.9644,7390450.831876,10.52,206
A,F,2158951.0,4387.0,6381006.7,6038870.5188,6284236.888354,9.1,167
A,F,2204510.0,2248.0,3290265.52,3131753.5908,3245823.275058,4.0,83
A,F,2228698.0,1285.0,2006532.62,1910564.0748,1986448.867124,2.71,52
A,F,2228699.0,11216.0,16762770.48,15860513.3073,16455147.220797,22.97,429
A,F,2701637.0,13072.0,19683259.63,18706946.5554,19448012.16693,24.9,509
A,F,2787289.0,60.0,78243.87,73421.4788,75543.43242,0.27,4
A,F,343754.0,1369.0,2104084.64,2003964.4929,2074074.199987,2.6,57
A,F,347018.0,5353.0,7987601.75,7596498.0105,7901425.336605,9.75,203
A,F,1308435.0,3681.0,5344188.22,5075948.849,5271176.644719,6.97,144
A,F,1487834.0,10580.0,15902339.17,15125661.3347,15751517.931916,21.04,425
A,F,2438521.0,6259.0,9635625.53,9151643.8744,9533780.242778,11.82,232
A,F,2926975.0,9879.0,14799347.67,14079985.5756,14672631.45471,18.5,383
A,F,461099.0,11513.0,17130923.22,16283518.8694,16893674.296746,21.91,442
A,F,849079.0,1762.0,2606449.78,2453838.9752,2537503.798631,3.69,64
A,F,1379805.0,9298.0,14058310.54,13362478.2373,13916756.853134,18.15,358
A,F,1652335.0,1477.0,2217724.6,2106365.769,2199486.630681,2.53,54
A,F,1874066.0,10109.0,14954024.51,14185707.6486,14740804.119852,21.5,414
A,F,2455580.0,7096.0,10566942.29,10038257.1588,10432774.683628,13.86,274
A,F,2467619.0,11029.0,16679206.92,15876566.5248,16544974.217632,20.21,425
A,F,2490402.0,192.0,263868.46,245551.4957,260356.94079,0.49,8
A,F,2769533.0,10335.0,15609962.6,14831034.4533,15430270.143062,20.22,404
A,F,2832575.0,11718.0,17538511.5,16672400.1175,17295734.192222,22.75,466
A,F,238445.0,10761.0,15950320.87,15180072.0776,15815707.142719,20.38,424
A,F,382699.0,7189.0,10792657.47,10246269.6761,10653732.241842,14.42,298
A,F,1211719.0,3977.0,5943427.14,5666414.2679,5895258.940787,7.89,160
A,F,1452608.0,8246.0,12150394.35,11540012.2267,12015812.988733,16.61,322
A,F,1551652.0,12507.0,18851211.57,17890748.6785,18603982.397902,24.86,489
A,F,1639591.0,5799.0,8577176.68,8162035.8404,8488772.807746,11.52,228
A,F,1732277.0,6880.0,10104007.94,9621902.67,10033881.045914,13.0,265
A,F,2290350.0,6805.0,10025726.79,9529936.7302,9927845.189641,13.53,269
A,F,2310690.0,5926.0,8959425.64,8513326.0498,8854947.776665,11.42,240
A,F,2518780.0,10402.0,15687971.21,14899960.7007,15506916.797143,21.4,416
A,F,2667615.0,11309.0,17213468.93,16376678.6494,17051450.823372,21.73,451
A,F,17816.0,9051.0,13381929.98,12706286.7632,13215003.97369,19.08,372
A,F,114770.0,4668.0,7053178.83,6725013.3271,6988652.101629,9.56,189
A,F,1168347.0,2943.0,4483590.38,4221177.8447,4409068.411187,6.19,108
A,F,1741101.0,3738.0,5704558.73,5435390.8015,5647357.586535,6.97,142
A,F,2039706.0,4593.0,7081512.89,6710386.3588,6969054.405553,9.36,180
A,F,2704787.0,5069.0,7725366.66,7344779.3432,7682158.692243,9.08,196
A,F,91965.0,3027.0,4542708.78,4314478.3488,4475269.983787,5.57,116
A,F,630583.0,12716.0,19105762.97,18151151.3812,18896507.084344,23.75,473
A,F,925355.0,12138.0,18328759.05,17362976.1309,18053804.779178,25.83,493
A,F,1012153.0,4722.0,7141692.55,6783142.5692,7036328.331903,9.27,184
A,F,1307620.0,11797.0,17550882.4,16638503.4305,17309174.098829,22.77,436
A,F,1452278.0,604.0,851836.36,805748.4398,838004.756595,1.25,24
A,F,1782669.0,2965.0,4511063.74,4298296.4872,4457461.987472,5.36,120
A,F,2452654.0,6898.0,10103764.89,9580490.5694,9977507.747211,13.3,267
A,F,2469685.0,10224.0,15332171.23,14566207.7084,15164614.980224,20.63,410
A,F,230457.0,12579.0,18548364.04,17650774.1096,18337363.356705,24.28,502
A,F,395205.0,6476.0,9946361.9,9462478.3528,9835214.829779,12.46,255
A,F,536972.0,8808.0,12989909.06,12397957.0367,12898724.905856,15.76,331
A,F,941845.0,2342.0,3534636.04,3381781.5588,3496973.917334,3.95,84
A,F,1601510.0,1476.0,2155177.47,2044494.4486,2117529.491285,3.41,65
A,F,1817616.0,7598.0,11272250.8,10722597.1631,11129014.708921,15.82,317
A,F,1919558.0,1404.0,2172274.73,2050951.3304,2130695.398414,2.68,53
A,F,2044725.0,2584.0,3880380.45,3680561.8062,3822196.461777,5.28,103
A,F,2690701.0,3563.0,5265970.24,5007913.5846,5210833.273559,6.15,125
A,F,2690702.0,9311.0,14032811.51,13344354.9589,13868532.177185,18.43,377
A,F,111000.0,5398.0,8058279.75,7623846.9152,7955815.567332,11.32,211
A,F,320950.0,9386.0,13829788.7,13116243.112,13644495.646864,18.04,356
A,F,399489.0,1354.0,2139512.1,2049146.0504,2120628.846194,2.2,54
A,F,399490.0,11919.0,17874675.08,16995013.0095,17683796.632004,23.35,472
A,F,464081.0,9421.0,14277353.83,13597246.6553,14128156.114385,17.95,379
A,F,832186.0,2658.0,4105646.58,3887491.8623,4036076.753853,5.22,100
A,F,872402.0,5311.0,7890525.7,7496200.611,7812973.152427,10.46,212
A,F,937822.0,4332.0,6505370.9,6158754.1709,6403707.260747,9.23,178
A,F,1219802.0,1294.0,1991376.31,1886911.6497,1959183.310251,2.35,44
A,F,1249996.0,11074.0,16701675.84,15873592.3189,16515609.33591,20.83,440
A,F,1785375.0,2167.0,3305030.15,3144251.1127,3263147.43772,4.1,83
A,F,1971999.0,8884.0,13679625.64,13042077.3303,13584854.648484,17.33,362
A,F,2409064.0,2002.0,3067251.97,2902360.7786,3011167.30168,4.42,85
A,F,2409065.0,11125.0,16762768.28,15918728.5827,16572812.334936,21.52,442
A,F,2465874.0,9963.0,14653220.47,13962356.6711,14544370.428547,19.08,403
A,F,2843251.0,700.0,1049330.35,1010889.0464,1054046.778512,1.03,27
A,F,54496.0,8379.0,12184515.36,11576581.5352,12072776.947446,16.8,335
A,F,54497.0,4163.0,6323511.81,5962414.6103,6191655.602738,8.64,155
A,F,421123.0,2013.0,3218707.28,3032281.9943,3153799.018958,4.28,78
A,F,441310.0,279.0,396156.42,374312.4976,386274.780348,0.47,9
A,F,1197447.0,1456.0,2183562.51,2066605.139,2150002.29583,2.99,58
A,F,1297419.0,3909.0,5719371.5,5472196.9176,5711839.922099,6.76,151
A,F,1312068.0,4098.0,6129162.1,5819824.136,6057157.519854,8.19,166
A,F,1865363.0,5618.0,8297486.17,7850503.5381,8152123.936004,11.32,216
A,F,2101468.0,5154.0,7656278.87,7271200.1529,7562780.668786,9.55,197
A,F,2655441.0,10317.0,15267180.52,14476922.1518,15065157.519196,21.18,399
A,F,2721235.0,9157.0,13736527.6,13067187.5816,13603700.269131,17.23,358
A,F,528427.0,2639.0,3932271.98,3747353.9606,3886418.344207,4.82,100
A,F,559597.0,7510.0,11163291.05,10628852.3835,11079490.312099,13.13,280
A,F,588460.0,767.0,1132419.75,1071098.088,1113280.195622,1.66,30
A,F,754951.0,3558.0,5386970.35,5113327.1394,5325782.523004,6.82,133
A,F,939662.0,13405.0,20263584.88,19270168.3473,20008955.845854,26.35,531
A,F,1554272.0,4566.0,6682783.36,6347302.7992,6597217.146182,8.84,180
A,F,1760243.0,10621.0,15952488.0,15181821.0417,15751830.716624,19.14,395
A,F,2431431.0,11676.0,17667737.78,16747057.4514,17418446.432643,23.6,464
A,F,2622121.0,3414.0,5076169.39,4825644.2848,4998631.682258,6.41,126
A,F,2622122.0,9258.0,13924908.14,13220285.5061,13732824.507304,17.77,362
A,F,2721410.0,11854.0,17895542.4,16980273.246,17650111.206227,24.67,490
A,F,874374.0,12465.0,18781804.33,17849979.206,18583320.26868,24.49,486
A,F,1242323.0,8858.0,13189001.33,12507396.4146,13000518.96581,18.91,365
A,F,1793853.0,6474.0,9620172.56,9101895.8489,9482847.356968,13.44,242
A,F,1793854.0,6808.0,10131831.2,9656020.3831,10063684.512655,12.7,259
A,F,1850522.0,4908.0,7408832.96,7023154.9505,7324509.787967,9.66,195
A,F,1850523.0,8859.0,13132537.48,12464347.0706,12977921.956471,17.16,331
A,F,2080827.0,1865.0,2789238.55,2649395.9407,2750152.177033,3.85,79
A,F,2155383.0,11369.0,17108989.21,16181053.9845,16826606.298789,24.84,470
A,F,2520816.0,8727.0,13100665.25,12428923.8016,12908051.845668,17.33,346
A,F,462522.0,5302.0,8092004.04,7725759.0411,8051517.799329,9.63,212
A,F,790411.0,8751.0,13308009.51,12642745.3864,13148986.63412,16.53,325
A,F,2262084.0,10497.0,15430804.27,14611469.5406,15206394.27277,20.63,403
A,F,2262111.0,3887.0,5653726.75,5417143.972,5637602.75543,6.22,140
A,F,2729905.0,3518.0,5272658.25,5017639.5592,5228355.511249,6.88,138
A,F,2729906.0,9387.0,14300818.1,13573925.2927,14115614.498987,18.96,369
A,F,2817913.0,5466.0,7915353.19,7498444.9899,7785754.795892,11.97,229
A,F,265722.0,11606.0,17251407.04,16415507.569,17067077.144433,21.05,449
A,F,654530.0,7687.0,11571436.96,10993946.7695,11412873.356993,14.25,287
A,F,764149.0,1910.0,2807340.78,2654982.1547,2760655.714369,4.13,78
A,F,1558170.0,6933.0,10370622.58,9816326.3899,10186783.76079,13.64,258
A,F,1587947.0,8162.0,12406746.77,11772345.2383,12247186.522261,15.66,309
A,F,1863549.0,12381.0,18639673.85,17642218.3119,18354933.022624,25.44,487
A,F,2173182.0,1406.0,2080888.14,1994108.2727,2068474.997322,2.13,48
A,F,2173183.0,10715.0,16094927.26,15324706.9077,15912989.70627,20.73,421
A,F,2435811.0,163.0,229811.03,222618.2049,230926.543908,0.19,6
A,F,2907022.0,2500.0,3731201.58,3546770.6713,3674593.047857,5.06,104
A,F,1291069.0,1172.0,1608546.43,1518153.147,1577372.148258,2.42,45
A,F,1412594.0,9996.0,15047698.14,14277356.3628,14862971.766051,20.05,392
A,F,548100.0,4230.0,6432204.51,6136875.449,6374628.462025,7.7,166
A,F,551214.0,5530.0,8303153.4,7877963.4777,8175372.46657,10.52,214
A,F,573981.0,5018.0,7510560.59,7134238.0461,7427460.813963,9.49,197
A,F,655104.0,3018.0,4524935.35,4280058.8044,4441895.647047,6.05,116
A,F,724681.0,6699.0,10062662.79,9563004.0394,9943505.946767,12.73,268
A,F,895374.0,5909.0,8653161.48,8216681.6796,8530057.836156,12.64,244
A,F,1346251.0,10376.0,15415360.41,14661030.2898,15266596.710771,19.8,403
A,F,1396497.0,1343.0,1962633.86,1863789.5776,1940196.26711,2.71,57
A,F,1506575.0,2818.0,4202290.3,3981748.5786,4153714.348731,5.83,115
A,F,2107929.0,10045.0,15219145.06,14472899.5468,15023361.455985,19.52,389
A,F,2529482.0,10243.0,15717931.31,14961910.746,15582563.187725,20.79,426
A,F,2804714.0,4393.0,6668662.74,6328910.1803,6597855.465767,7.98,159
A,F,1235349.0,9280.0,13847964.74,13168483.2364,13733308.675541,18.43,367
A,F,1664032.0,2897.0,4313390.02,4081718.512,4246224.690897,5.51,109
A,F,2602807.0,5329.0,7829320.96,7437177.9433,7721186.128473,10.86,216
A,F,2921533.0,12388.0,18998005.35,18001380.4263,18709474.145145,23.9,475
A,F,608998.0,11371.0,17063365.5,16262183.439,16897008.582432,21.44,460
A,F,681472.0,202.0,314253.59,305200.3833,312875.101321,0.23,8
A,F,1058677.0,7846.0,11775408.82,11184636.2696,11651588.577509,16.08,323
A,F,1408774.0,8530.0,12880245.07,12227367.5597,12701602.713579,17.1,335
A,F,1787884.0,8352.0,12479113.15,11795440.8588,12289662.855175,17.46,333
A,F,2308361.0,8488.0,12570693.03,11939735.5714,12424383.070089,16.71,331
A,F,52048.0,7378.0,11199291.88,10653766.1695,11068456.04819,14.4,297
A,F,156736.0,4797.0,7209868.21,6866930.6948,7137472.987143,8.75,186
A,F,623293.0,6473.0,9504242.68,9050738.8632,9399876.316285,11.68,249
A,F,1345416.0,6839.0,10337772.32,9790865.0755,10174796.868517,14.25,277
A,F,1586216.0,4274.0,6420226.19,6082052.4882,6339371.229534,8.92,166
A,F,1671672.0,684.0,1078798.47,1016728.7058,1054130.035094,1.41,25
A,F,1804764.0,6516.0,9781125.16,9271570.2029,9630985.089883,13.4,254
A,F,1999850.0,2564.0,3803575.36,3618372.5574,3766289.517962,4.54,92
A,F,2485564.0,1907.0,2790397.59,2626618.139,2731884.387285,3.84,70
A,F,45724.0,10486.0,15762484.07,14911418.6151,15517608.092606,22.55,428
A,F,55052.0,4779.0,7042614.87,6662215.2305,6916953.842984,9.5,180
A,F,66285.0,4983.0,7422012.95,7041565.9702,7343798.995099,9.82,197
A,F,66286.0,9924.0,14713986.02,13967287.4172,14541781.048723,19.11,377
A,F,326308.0,10257.0,15332000.44,14617563.885,15181960.433872,19.05,401
A,F,1438901.0,7607.0,11527933.8,10960438.6489,11386868.708782,14.88,311
A,F,1669433.0,10404.0,15607341.21,14829006.8845,15389477.258057,21.7,433
A,F,1780322.0,626.0,960545.35,912385.8635,938739.373226,1.34,28
A,F,2367240.0,3668.0,5550945.83,5260817.1029,5450068.120849,7.25,139
A,F,2512202.0,5880.0,8963522.27,8511700.9174,8890354.947097,12.0,236
A,F,2648563.0,7039.0,10709247.54,10146526.4538,10559475.097631,15.19,281
A,F,2783797.0,5731.0,8696505.84,8234783.2307,8594954.734118,11.22,219
A,F,2783798.0,8037.0,11736481.93,11105298.4121,11558568.744273,17.59,326
A,F,409684.0,12750.0,18740693.95,17743206.9428,18458646.999549,26.12,496
A,F,670305.0,10450.0,15797642.56,15066291.1124,15653887.015281,20.07,421
A,F,887642.0,1632.0,2551528.85,2408736.0284,2515504.147871,4.0,73
A,F,1034711.0,8078.0,11964527.49,11377756.6221,11843413.310992,15.71,325
A,F,1367683.0,1231.0,1784270.02,1698630.4423,1771557.584615,2.4,48
A,F,1573786.0,10990.0,16266844.95,15416151.0599,16030715.71795,22.53,439
A,F,2445153.0,199.0,280659.92,271132.1604,283169.430952,0.39,10
A,F,2670680.0,2735.0,3980078.56,3787033.1699,3940359.424981,6.0,120
A,F,2670681.0,10798.0,16418450.41,15608750.8309,16248693.997491,20.67,417
A,F,2735063.0,12210.0,18363923.06,17424131.2497,18116665.487726,25.5,500
A,F,2807346.0,1025.0,1520137.7,1453839.8355,1514278.808983,2.16,42
A,F,2816893.0,1457.0,2160963.46,2051480.0124,2129913.587143,3.09,61
A,F,9328.0,2144.0,3293652.96,3104320.2196,3219040.291099,4.77,86
A,F,181810.0,3130.0,4668042.26,4433982.8069,4619587.470524,5.63,117
A,F,375246.0,1685.0,2482506.86,2348898.735,2452921.231702,3.21,66
A,F,482821.0,5876.0,8935401.75,8498687.9228,8808339.969008,11.95,233
A,F,744922.0,9362.0,14064451.16,13329369.4032,13873386.198344,20.04,392
A,F,924335.0,1892.0,2859707.31,2718785.5645,2831072.748089,3.62,75
A,F,1000607.0,1692.0,2490688.44,2382544.2162,2481731.007337,3.32,71
A,F,1314304.0,8118.0,11873009.78,11269004.2679,11694842.00359,16.88,326
A,F,1771752.0,12076.0,18122982.64,17214664.1793,17900503.581135,24.76,490
A,F,2009984.0,6548.0,9990757.04,9478239.6444,9832904.654048,12.77,258
A,F,60354.0,11777.0,17507398.62,16586394.5777,17249016.118827,23.53,459
A,F,901601.0,8202.0,12194973.72,11544911.8818,11979583.46994,17.19,337
A,F,997818.0,5957.0,8966409.5,8529568.2354,8857579.774907,10.86,228
A,F,1102916.0,9750.0,14385974.77,13636077.7176,14169892.258456,19.38,385
A,F,1238901.0,7520.0,11163037.49,10607301.2391,11022268.374554,13.25,277
A,F,1786685.0,78.0,103468.7,96024.3787,100069.789536,0.35,6
A,F,1930381.0,2635.0,4020681.72,3825280.8002,3976634.578577,5.23,103
A,F,1933209.0,583.0,894728.44,836127.9879,869238.431599,1.28,21
A,F,34769.0,8853.0,13313354.53,12629558.6297,13160276.334329,16.9,340
A,F,44196.0,11129.0,17065422.67,16199344.4846,16839837.948888,21.83,435
A,F,744671.0,9156.0,13489705.81,12788302.8431,13281486.742241,17.95,356
A,F,978782.0,4600.0,6928622.33,6566424.8431,6831318.792674,9.32,183
A,F,1201547.0,5108.0,7624187.91,7274909.9778,7534659.17313,9.48,199
A,F,1343227.0,8668.0,13184161.46,12536994.0575,13035519.929578,17.07,337
A,F,2260959.0,9556.0,14397482.42,13630587.6485,14154601.384978,19.89,383
A,F,297619.0,3145.0,4693067.27,4462292.4622,4619628.96145,6.66,134
A,F,623423.0,2592.0,3816493.73,3614327.0546,3744231.503207,5.58,105
A,F,1047320.0,209.0,311998.15,291010.9366,302562.786496,0.53,10
A,F,1069834.0,2300.0,3431735.51,3269532.0576,3410816.055474,4.14,90
A,F,1248887.0,4026.0,5893510.94,5609761.2603,5822764.275517,8.2,166
A,F,2008315.0,5319.0,8113318.75,7703372.2608,8024903.942914,10.97,209
A,F,2008316.0,7543.0,11328357.15,10770636.2639,11202201.914809,14.31,276
A,F,2319811.0,12559.0,18952377.07,18051535.4558,18739914.755618,23.83,498
A,F,2551078.0,6401.0,9561838.54,9073153.5509,9434322.173267,12.37,234
A,F,2739287.0,2680.0,3939657.27,3707532.1543,3866295.437052,6.1,108
A,F,1569441.0,2996.0,4467512.23,4245370.6197,4413974.079104,6.75,130
A,F,1569442.0,9494.0,14506613.8,13809406.3203,14366923.454195,17.37,360
A,F,1667917.0,2394.0,3629288.49,3460872.5066,3616135.327608,4.28,92
A,F,1730336.0,12353.0,18716608.69,17757513.493,18513083.699138,24.03,465
A,F,2251814.0,13195.0,19824665.06,18862853.6414,19650181.109116,24.55,499
A,F,2443303.0,5252.0,7892475.92,7456836.684,7764799.671548,10.59,200
A,F,2490665.0,6896.0,10650661.19,10130644.9963,10532876.130908,12.95,265
A,F,1021056.0,11567.0,17102277.88,16263433.8911,16956507.321483,22.33,457
A,F,1431430.0,3322.0,4929409.4,4673901.6354,4853559.194809,7.13,135
A,F,1646469.0,6252.0,9464309.93,8995818.2965,9367543.555588,11.4,234
A,F,1996910.0,5381.0,7912580.32,7518422.7043,7843741.550887,11.22,228
A,F,2071929.0,4364.0,6692776.67,6341753.9804,6585206.311484,9.29,179
A,F,2112865.0,5688.0,8501423.18,8047913.0103,8385416.718678,12.39,231
A,F,2511639.0,9813.0,14592133.59,13914604.7843,14487858.024874,17.04,366
A,F,2614769.0,3779.0,5551965.84,5278555.0343,5514671.165803,7.75,156
A,F,2707335.0,9220.0,13691521.48,12982651.8367,13523990.069957,18.31,358
A,F,2707336.0,3843.0,5728596.35,5418709.4938,5635458.869211,8.4,150
A,F,732747.0,11216.0,16563145.89,15710084.7114,16347747.744093,23.31,450
A,F,791623.0,4042.0,6096662.74,5797807.1235,6048790.469682,7.93,156
A,F,1796189.0,7408.0,11055615.24,10489906.039,10901576.652185,15.48,299
A,F,2092614.0,10830.0,16225781.45,15428499.1549,16085040.397199,19.99,412
A,F,2378299.0,1893.0,2815573.27,2667526.5671,2792218.876442,3.41,68
A,F,2629565.0,1727.0,2669572.6,2538171.0309,2627848.378804,3.38,68
A,F,2858894.0,2886.0,4360313.75,4135242.1955,4300971.410737,5.73,115
A,F,165201.0,3640.0,5344180.17,5067249.2967,5268961.352944,6.99,133
A,F,165202.0,9115.0,13682728.49,13001237.239,13538889.43736,18.47,367
A,F,596110.0,8612.0,13004521.22,12348722.429,12859371.280847,16.99,337
A,F,616052.0,2445.0,3511610.05,3335886.7229,3469714.554027,4.49,89
A,F,766164.0,3438.0,5276375.27,4991119.4885,5211363.054978,7.37,141
A,F,816228.0,7734.0,11511603.15,10943397.8435,11351794.265654,16.01,321
A,F,1469788.0,9035.0,13304746.44,12630747.5657,13158800.693206,19.11,374
A,F,1710194.0,8662.0,13176847.52,12536355.7418,13049724.066924,17.71,351
A,F,1731960.0,11430.0,16970327.11,16104393.6367,16791347.813779,23.57,465
A,F,153091.0,4986.0,7404328.24,7016946.5167,7298983.414999,10.24,199
A,F,153092.0,9396.0,14027995.52,13345794.7588,13835008.704231,17.18,352
A,F,529226.0,7798.0,11457048.04,10865229.1018,11275367.07263,15.16,297
